ID,Type of MB,Compound abbreviation,Types of contaminants,pH,Compound Mw (g/mol),Compound charge,Compound Kow,min projection (A),max projection (A),MB MWCO (Da),MB contact angle,MB zeta potential,Total charge,Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),compound size (nm),removal rate (%),reference,MWCO ref,MB contact angle ref,MB zeta potential ref,mem_material
542,NF,PHC,Procaine hydrochloride,7,272.77,0.9892,1.88,4.31,8.04,300,53.8,-1,-0.9892,1000,120,10,0.589,82.49,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
543,NF,PHC,Procaine hydrochloride,7,272.77,0.9892,1.88,4.31,8.04,300,53.8,-1,-0.9892,1000,180,10,0.589,81.03,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
544,NF,PHC,Procaine hydrochloride,7,272.77,0.9892,1.88,4.31,8.04,300,53.8,-1,-0.9892,1000,240,10,0.589,78.4,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
545,NF,PHC,Procaine hydrochloride,7,272.77,0.9892,1.88,4.31,8.04,300,53.8,-1,-0.9892,1000,300,10,0.589,84,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
546,NF,SFU,Sulfaguanidine,7,214.24,0.0122,-0.92,4.19,5.64,300,53.8,-1,-0.0122,1000,10,10,0.486,38.11,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
547,NF,SFU,Sulfaguanidine,7,214.24,0.0122,-0.92,4.19,5.64,300,53.8,-1,-0.0122,1000,60,10,0.486,42.3,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
548,NF,SFU,Sulfaguanidine,7,214.24,0.0122,-0.92,4.19,5.64,300,53.8,-1,-0.0122,1000,120,10,0.486,39.9,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
549,NF,SFU,Sulfaguanidine,7,214.24,0.0122,-0.92,4.19,5.64,300,53.8,-1,-0.0122,1000,180,10,0.486,44.33,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
550,NF,SFU,Sulfaguanidine,7,214.24,0.0122,-0.92,4.19,5.64,300,53.8,-1,-0.0122,1000,240,10,0.486,46.16,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
551,NF,SFU,Sulfaguanidine,7,214.24,0.0122,-0.92,4.19,5.64,300,53.8,-1,-0.0122,1000,300,10,0.486,45.41,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
552,NF,SFX,Sulfamethoxazole,7,253.28,-0.8735,0.791,5.4,5.88,300,53.8,-1,0.8735,1500,10,10,0.563,29.4,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off determination using polyethylene glycols,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,PPA
553,NF,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,300,53.8,-1,-0.9345,1000,10,10,0.588,78.82,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
554,NF,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,300,53.8,-1,-0.9345,1000,60,10,0.588,72.65,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
555,NF,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,300,53.8,-1,-0.9345,1000,120,10,0.588,69.08,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
556,NF,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,300,53.8,-1,-0.9345,1000,180,10,0.588,74.92,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
557,NF,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,300,53.8,-1,-0.9345,1000,240,10,0.588,72.05,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
558,NF,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,300,53.8,-1,-0.9345,1000,300,10,0.588,68.94,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off,,,PPA
559,NF,TMP,Trimethoprim,7,290.323,0.9345,1.284,4.97,6.95,300,53.8,-1,-0.9345,1500,10,10,0.588,81.8,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,A re???ned one-???ltration method for aqueous based nano???ltration and ultra???ltration membrane molecular weight cut-off determination using polyethylene glycols,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,PPA
560,NF200,17AED,17alpha-Ethynilestradiol,7,296.41,0,4.33,4.44,7.2,300,30.3,-1,0,483,10,0.005,0.565,89,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
561,NF200,17BED,17beta-Estradiol,7,272.4,0,3.746,4.02,7.3,300,30.3,-1,0,483,10,0.005,0.542,80,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
562,NF200,24DBA,"2,4-Dihydroxybenzoic acid",3,154.121,-0.443,1.674,3.59,5.05,300,30.3,0.4206,-0.1863258,448.159,10,1.6,0.426,4.6,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
563,NF200,24DBA,"2,4-Dihydroxybenzoic acid",3.5,154.121,-0.7155,1.674,3.59,5.05,300,30.3,-1,0.7155,448.159,10,1.6,0.426,19.54,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
564,NF200,24DBA,"2,4-Dihydroxybenzoic acid",4,154.121,-0.8883,1.674,3.59,5.05,300,30.3,-1,0.8883,448.159,10,1.6,0.426,37.93,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
565,NF200,24DBA,"2,4-Dihydroxybenzoic acid",4.5,154.121,-0.9618,1.674,3.59,5.05,300,30.3,-1,0.9618,448.159,10,1.6,0.426,62.64,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
566,NF200,24DBA,"2,4-Dihydroxybenzoic acid",5,154.121,-0.9876,1.674,3.59,5.05,300,30.3,-1,0.9876,448.159,10,1.6,0.426,70.2,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
567,NF200,24DBA,"2,4-Dihydroxybenzoic acid",5.5,154.121,-0.9961,1.674,3.59,5.05,300,30.3,-1,0.9961,448.159,10,1.6,0.426,76.72,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
568,NF200,24DBA,"2,4-Dihydroxybenzoic acid",6,154.121,-1,1.674,3.59,5.05,300,30.3,-1,1,448.159,10,1.6,0.426,81.06,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
569,NF200,24DBA,"2,4-Dihydroxybenzoic acid",6.5,154.121,-1,1.674,3.59,5.05,300,30.3,-1,1,448.159,10,1.6,0.426,83.23,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
570,NF200,24DBA,"2,4-Dihydroxybenzoic acid",7,154.121,-1,1.674,3.59,5.05,300,30.3,-1,1,448.159,10,1.6,0.426,86.13,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
571,NF200,24DBA,"2,4-Dihydroxybenzoic acid",7.5,154.121,-1,1.674,3.59,5.05,300,30.3,-1,1,448.159,10,1.6,0.426,86.13,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
572,NF200,24DBA,"2,4-Dihydroxybenzoic acid",8,154.121,-1.0153,1.674,3.59,5.05,300,30.3,-1,1.0153,448.159,10,1.6,0.426,87.58,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
573,NF200,24DBA,"2,4-Dihydroxybenzoic acid",8.5,154.121,-1.047,1.674,3.59,5.05,300,30.3,-1,1.047,448.159,10,1.6,0.426,89.03,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
574,NF200,24DBA,"2,4-Dihydroxybenzoic acid",9,154.121,-1.1349,1.674,3.59,5.05,300,30.3,-1,1.1349,448.159,10,1.6,0.426,89.75,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
575,NF200,ACA,Acetic acid,3,60.052,-0.0278,-0.223,2.75,3.27,300,30.3,0.4206,-0.01169268,448.159,10,12.5,0.3,9.61,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
576,NF200,ACA,Acetic acid,3.5,60.052,-0.083,-0.223,2.75,3.27,300,30.3,-1,0.083,448.159,10,12.5,0.3,10.11,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
577,NF200,ACA,Acetic acid,4,60.052,-0.2225,-0.223,2.75,3.27,300,30.3,-1,0.2225,448.159,10,12.5,0.3,11.69,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,"A QSAR model for predicting rejection of emerging contaminants (pharmaceuticals, endocrine disruptors) by nano???ltration",The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,,PPA
